city,New_city
Allston,ALLSTON
Andover,ANDOVER
Arlington,ARLINGTON
Auburndale,AUBURNDALE
Avon,AVON
Back Bay,BACK BAY
Bedford,BEDFORD
Belmont,BELMONT
Beverly,BEVERLY
Billerica,BILLERICA
Boston,BOSTON
boston,BOSTON
Boston-Fenway,BOSTON
Braintree,BRAINTREE
Brighton,BRIGHTON
Brockton,BROCKTON
Brookline,BROOKLINE
Burlington,BURLINGTON
Cambridge,CAMBRIDGE
Canton,CANTON
Carlisle,CARLISLE
Charlestown,CHARLESTOWN
Chelsea,CHELSEA
Chestnut Hill,CHESTNUT HILL
Cohasset,COHASSET
Concord,CONCORD
Danvers,DANVERS
Dedham,DEDHAM
Dorchester,DORCHESTER
Dorchester Center,DORCHESTER
Dover,DOVER
East Boston,BOSTON
east boston,BOSTON
East boston,BOSTON
East Walpole,WALPOLE
East Weymouth,WEYMOUTH
Everett,EVERETT
Framingham,FRAMINGHAM
Franklin,FRANKLIN
Hanover,HANOVER
Hanscom Air Force Base,HANSCOM AIR FORCE BASE
Hingham,HINGHAM
HOLB,HOLBROOK
Holbrook,HOLBROOK
Hollbrook,HOLBROOK
Hull,HOLBROOK
Hyde Park,HYDE PARK
Jamaica Plain,JAMAICA PLAIN
Jeffries Point,JEFFRIES POINT
Jeffries Point / Airport,JEFFRIES POINT
Lexington,LEXINGTON
Lincoln,LINCOLN
Lynn,LYNN
Lynnfield,LYNNFIELD
Malden,MALDEN
Marblehead,MARBLEHEAD
Marlbehead,MARBLEHEAD
Mattapan,MATTAPAN
Medfield,MEDFIELD
Medford,MEDFORD
Melrose,MELROSE
Mid-Cambridge,CAMBRIDGE
Middleton,MIDDLETON
Milton,MILTON
Mission Hill,MISSION HILL
N.Billerica,BILLERICA
N.Reading,NORTH READING  
Nahant,NAHANT
Nantasket Beach,NANTASKET BEACH
Natick,NATICK
Needham,NEEDHAM
Needham Heights,NEEDHAM
Newton,NEWTON
newton,NEWTON
Newton Center,NEWTON
Newton Centre,NEWTON
Newton Corner,NEWTON
Newton Highlands,NEWTON
Newton Upper Falls,NEWTON
Newtonville,NEWTON
North Andover,NORTH ANDOVER
North Billerica,BILLERICA
North Quincy,QUINCY
North Reading,NORTH READING
North Weymouth,WEYMOUTH
Norwell,NORWELL
Norwood,NORWOOD
Peabody,PEABODY
Quincy,QUINCY
Quincy Center,QUINCY
Randolph,RANDOLPH
Reading,READING
Revere,REVERE
Rockland,ROCKLAND
Rockport,ROCKPORT
Roslindale,ROSLINDALE
Roxbury,ROXBURY
Roxbury Crossing,ROXBURY
S Boston,BOSTON
Salem,SALEM
Saugus,SAUGUS
So. Weymouth,WEYMOUTH
Somerville,SOMERVILLE
Sommerville,SOMERVILLE
South Boston,BOSTON
South Waltham,WALTHAM
South Weymouth,WEYMOUTH
Stoneham,STONEHAM
Stoughton,STOUGHTON
Sudbury,SUDBURY
Swampscott,SWAMPSCOTT
Tewksbury,TEWKSBURY
Waban,WABAN
Wakefield,WAKEFIELD
Walpole,WALPOLE
Waltham,WALTHAM
Watertown,WATERTOWN
Wayland,WAYLAND
Wellesley,WELLESLEY
Wellesley Hills,WELLESLEY
West Concord,CONCORD
West Medford,MEDFORD
West Newton,NEWTON
West Roxbury,ROXBURY
Weston,WESTON
Westwood,WESTWOOD
Weymouth,WEYMOUTH
Wilmington,WILMINGTON
Winchester,WINCHESTER
Winthrop,WINTHROP
Woburn,WOBURN
Wollaston,WOLLASTON
