city,count
BOSTON,2771
CAMBRIDGE,731
SOMERVILLE,374
QUINCY,305
NEWTON,237
BROOKLINE,219
SALEM,212
WALTHAM,203
PEABODY,167
MALDEN,163
LYNN,160
ALLSTON,159
DORCHESTER,157
BEVERLY,154
MEDFORD,152
NATICK,146
BURLINGTON,140
WOBURN,138
WATERTOWN,132
WEYMOUTH,129
REVERE,126
NORWOOD,124
ROXBURY,124
BRAINTREE,121
SAUGUS,121
ARLINGTON,120
BRIGHTON,117
JAMAICA PLAIN,115
DANVERS,112
EVERETT,102
DEDHAM,94
WAKEFIELD,86
BILLERICA,82
ROSLINDALE,77
RANDOLPH,77
NEEDHAM,73
WELLESLEY,69
HOLBROOK,68
STOUGHTON,67
BELMONT,66
CANTON,64
MARBLEHEAD,63
HINGHAM,63
LEXINGTON,62
READING,58
CHELSEA,58
STONEHAM,51
MELROSE,50
WILMINGTON,50
CONCORD,45
BEDFORD,45
WINCHESTER,44
SWAMPSCOTT,43
CHESTNUT HILL,41
WINTHROP,41
FRAMINGHAM,37
TEWKSBURY,37
HYDE PARK,34
LYNNFIELD,34
CHARLESTOWN,33
MIDDLETON,32
WESTWOOD,31
COHASSET,31
NORTH READING,31
WALPOLE,30
NORWELL,29
MATTAPAN,27
WAYLAND,27
MILTON,18
BROCKTON,18
ROCKLAND,12
AVON,10
SUDBURY,9
WESTON,7
LINCOLN,6
NAHANT,5
AUBURNDALE,5
MEDFIELD,4
WOLLASTON,3
WABAN,3
DOVER,2
HANSCOM AIR FORCE BASE,2
JEFFRIES POINT,2
FRANKLIN,1
HANOVER,1
BACK BAY,1
NORTH ANDOVER,1
CARLISLE,1
NANTASKET BEACH,1
MISSION HILL,1
ANDOVER,1
ROCKPORT,1
